ID,target
year_week_425_store_1_category_0,5.170483995038151
year_week_426_store_1_category_0,5.225746673713202
year_week_427_store_1_category_0,5.44673737166631
year_week_428_store_1_category_0,4.919980925828125
year_week_425_store_1_category_1,3.091042453358316
year_week_426_store_1_category_1,2.70805020110221
year_week_427_store_1_category_1,2.3978952727983707
year_week_428_store_1_category_1,2.4849066497880004
year_week_425_store_1_category_10,5.263177116968296
year_week_426_store_1_category_10,5.188201104679232
year_week_427_store_1_category_10,5.262866344373056
year_week_428_store_1_category_10,5.046337002295269
year_week_425_store_1_category_11,3.828641396489095
year_week_426_store_1_category_11,3.8918202981106265
year_week_427_store_1_category_11,3.6888794541139363
year_week_428_store_1_category_11,3.8066624897703196
year_week_425_store_1_category_12,7.760333175413115
year_week_426_store_1_category_12,7.768073998845644
year_week_427_store_1_category_12,7.637490384949264
year_week_428_store_1_category_12,7.567759240948828
year_week_425_store_1_category_13,6.90975328164481
year_week_426_store_1_category_13,6.773080375655535
year_week_427_store_1_category_13,6.910750787961936
year_week_428_store_1_category_13,6.879355804460439
year_week_425_store_1_category_14,8.481566013773087
year_week_426_store_1_category_14,8.508959386489133
year_week_427_store_1_category_14,8.488999457045455
year_week_428_store_1_category_14,8.496582237512113
year_week_425_store_1_category_15,9.796403608183413
year_week_426_store_1_category_15,9.764378691856686
year_week_427_store_1_category_15,9.776264449320117
year_week_428_store_1_category_15,9.729879244893525
year_week_425_store_1_category_16,6.931471805599453
year_week_426_store_1_category_16,6.8416154764775925
year_week_427_store_1_category_16,6.870053411798126
year_week_428_store_1_category_16,6.859614903654202
year_week_425_store_1_category_17,7.872676543237629
year_week_426_store_1_category_17,7.804240367555564
year_week_427_store_1_category_17,7.833509886775779
year_week_428_store_1_category_17,7.720135998265629
year_week_425_store_1_category_18,9.681343501555002
year_week_426_store_1_category_18,9.609250711113672
year_week_427_store_1_category_18,9.67357111693449
year_week_428_store_1_category_18,9.62092568277892
year_week_425_store_1_category_19,6.717041409841608
year_week_426_store_1_category_19,6.673779520576191
year_week_427_store_1_category_19,6.753496271620997
year_week_428_store_1_category_19,6.758664602053795
year_week_425_store_1_category_2,4.477336814478207
year_week_426_store_1_category_2,4.465908118654584
year_week_427_store_1_category_2,4.48863636973214
year_week_428_store_1_category_2,4.3694478524670215
year_week_425_store_1_category_20,6.203785743426465
year_week_426_store_1_category_20,6.094677512930514
year_week_427_store_1_category_20,6.107316822267554
year_week_428_store_1_category_20,6.114747992183381
year_week_425_store_1_category_21,0.0
year_week_426_store_1_category_21,0.0
year_week_427_store_1_category_21,0.0
year_week_428_store_1_category_21,0.0
year_week_425_store_1_category_22,3.9889840465642745
year_week_426_store_1_category_22,4.442651256490317
year_week_427_store_1_category_22,4.304065093204169
year_week_428_store_1_category_22,3.828641396489095
year_week_425_store_1_category_23,7.6544569799300355
year_week_426_store_1_category_23,7.757068673957028
year_week_427_store_1_category_23,7.779526773281798
year_week_428_store_1_category_23,7.789860280874747
year_week_425_store_1_category_24,3.5553480614894135
year_week_426_store_1_category_24,3.4965075614664802
year_week_427_store_1_category_24,3.1780538303479458
year_week_428_store_1_category_24,3.6635616461296463
year_week_425_store_1_category_25,4.867534450455582
year_week_426_store_1_category_25,4.812184355372417
year_week_427_store_1_category_25,4.890349128221754
year_week_428_store_1_category_25,5.10594547390058
year_week_425_store_1_category_26,0.6931471805599453
year_week_426_store_1_category_26,0.0
year_week_427_store_1_category_26,1.0986122886681096
year_week_428_store_1_category_26,1.3862943611198906
year_week_425_store_1_category_27,5.0689042022202315
year_week_426_store_1_category_27,4.955827057601261
year_week_427_store_1_category_27,4.927253685157205
